Title,Citations,Author,Publication Title,Publication Year,Item Type,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Title Duplicate,TA Keyword
"Exploring Teens as Robot Operators, Users and Witnesses in the Wild",2,"Bjorling, Elin A.; Thomas, Kyle; Rose, Emma J.; Cakmak, Maya",FRONTIERS IN ROBOTICS AND AI,2020,journalArticle,,2296-9144,10.3389/frobt.2020.00005,,"As social robots continue to show promise as assistive technologies, the exploration of appropriate and impactful robot behaviors is key to their eventual success. Teens are a unique population given their vulnerability to stress leading to both mental and physical illness. Much of teen stress stems from school, making the school environment an ideal location for a stress reducing technology. The goal of this mixed-methods study was to understand teens' operation of, and responsiveness to, a robot only capable of movement compared to a robot only capable of speech. Stemming from a human-centered approach, we introduce a Participatory Wizard of Oz (PWoz) interaction method that engaged teens as operators, users, and witnesses in a uniquely transparent interaction. In this paper, we illustrate the use of the PWoz interaction method as well as how it helps identify engaging robot interactions. Using this technique, we present results from a study with 62 teens that includes details of the complexity of teen stress and a significant reduction in negative attitudes toward robots after interactions. We analyzed the teens' interactions with both the verbal and non-verbal robots and identified strong themes of (1) authenticity, (2) empathy, (3) emotional engagement, and (4) imperfection creates connection. Finally, we reflect on the benefits and limitations of the PWoz method and our study to identify next steps toward the design and development of our social robot.",2020-02-21,2021-04-19T15:56:09Z,2021-04-19T15:56:09Z,,,,,7,,,,,,,,,,English,,,,,,,"Place: AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND Publisher: FRONTIERS MEDIA SA Type: Article",,,,,adolescence; empathy; human-centered design; mental health; participatory; social robots; Wizard of Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exploringteensasrobotoperatorsusersandwitnessesinthewild,exploring teens as robot operators users and witnesses in the wild as social robots continue to show promise as assistive technologies the exploration of appropriate and impactful robot behaviors is key to their eventual success teens are a unique population given their vulnerability to stress leading to both mental and physical illness much of teen stress stems from school making the school environment an ideal location for a stress reducing technology the goal of this mixedmethods study was to understand teens operation of and responsiveness to a robot only capable of movement compared to a robot only capable of speech stemming from a humancentered approach we introduce a participatory wizard of oz pwoz interaction method that engaged teens as operators users and witnesses in a uniquely transparent interaction in this paper we illustrate the use of the pwoz interaction method as well as how it helps identify engaging robot interactions using this technique we present results from a study with 62 teens that includes details of the complexity of teen stress and a significant reduction in negative attitudes toward robots after interactions we analyzed the teens interactions with both the verbal and nonverbal robots and identified strong themes of 1 authenticity 2 empathy 3 emotional engagement and 4 imperfection creates connection finally we reflect on the benefits and limitations of the pwoz method and our study to identify next steps toward the design and development of our social robot
Nudging for good: robots and the ethical appropriateness of nurturing empathy and charitable behavior,25,"Borenstein, Jason; Arkin, Ronald C.",AI & SOCIETY,2017,journalArticle,,0951-5666,10.1007/s00146-016-0684-1,,"An under-examined aspect of human-robot interaction that warrants further exploration is whether robots should be permitted to influence a user's behavior for that person's own good. Yet an even more controversial practice could be on the horizon, which is allowing a robot to “nudge” a user's behavior for the good of society. In this article, we examine the feasibility of creating companion robots that would seek to nurture a user's empathy toward other human beings. As more and more computing devices subtly and overtly influence human behavior, it is important to draw attention to whether it would be ethically appropriate for roboticists to pursue this type of design pathway. Our primary focus is on whether a companion robot could encourage humans to perform charitable acts; this design possibility illustrates the range of socially just actions that a robot could potentially elicit from a user and what the associated ethical concerns may be.",2017-11,2021-04-19T15:56:59Z,2021-04-19T15:56:59Z,,499-507,9,4,32,,,,,,,,,,English,,,,,,,"Place: 233 SPRING ST, NEW YORK, NY 10013 USA Publisher: SPRINGER Type: Article",,,,,Charity; Companion robots; Design ethics; Empathy; Nudges; Robot ethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nudgingforgoodrobotsandtheethicalappropriatenessofnurturingempathyandcharitablebehavior,nudging for good robots and the ethical appropriateness of nurturing empathy and charitable behavior an underexamined aspect of humanrobot interaction that warrants further exploration is whether robots should be permitted to influence a users behavior for that persons own good yet an even more controversial practice could be on the horizon which is allowing a robot to nudge a users behavior for the good of society in this article we examine the feasibility of creating companion robots that would seek to nurture a users empathy toward other human beings as more and more computing devices subtly and overtly influence human behavior it is important to draw attention to whether it would be ethically appropriate for roboticists to pursue this type of design pathway our primary focus is on whether a companion robot could encourage humans to perform charitable acts this design possibility illustrates the range of socially just actions that a robot could potentially elicit from a user and what the associated ethical concerns may be
Perceived Mistreatment and Emotional Capability Following Aggressive Treatment of Robots and Computers,5,"Carlson, Zachary; Lemmon, Louise; Higgins, MacCallister; Frank, David; Shahrezaie, Roya Salek; Feil-Seifer, David",INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS,2019,journalArticle,,1875-4791,10.1007/s12369-019-00599-8,,"Robots (and computers) are increasingly being used in scenarios where they interact socially with people. How people react to these agents is telling about the perceived empathy of such agents. Mistreatment of robots (or computers) by co-workers might provoke such telling reactions. This study examines perceived mistreatment directed towards a robot in comparison to a computer. This will provide some understanding of how people feel about robots in collaborative social settings. We conducted a two by two between-subjects study with 80 participants. Participants worked cooperatively with either a robot or a computer agent. An experiment confederate would either act aggressively or neutrally towards the agent. We hypothesized that people would not perceive aggressive speech as mistreatment when an agent was capable of emotional feelings and similar to themselves; that participants would perceive the robot as more similar in appearance and emotionally capable to themselves than a computer; and so would observe more mistreatment with a robot. The final results supported our hypotheses; the participants observed greater mistreatment for the robot, but not the computer. Also participants felt significantly more sympathetic towards the robot and believed that it was much more emotionally capable.",2019-12,2021-04-19T15:56:17Z,2021-04-19T15:56:17Z,,727-739,13,5,11,,,,,,,,,,English,,,,,,,"Place: VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS Publisher: SPRINGER Type: Article",,,,,Human-robot cooperation; Human-robot interaction; Mistreatment; Perception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perceivedmistreatmentandemotionalcapabilityfollowingaggressivetreatmentofrobotsandcomputers,perceived mistreatment and emotional capability following aggressive treatment of robots and computers robots and computers are increasingly being used in scenarios where they interact socially with people how people react to these agents is telling about the perceived empathy of such agents mistreatment of robots or computers by coworkers might provoke such telling reactions this study examines perceived mistreatment directed towards a robot in comparison to a computer this will provide some understanding of how people feel about robots in collaborative social settings we conducted a two by two betweensubjects study with 80 participants participants worked cooperatively with either a robot or a computer agent an experiment confederate would either act aggressively or neutrally towards the agent we hypothesized that people would not perceive aggressive speech as mistreatment when an agent was capable of emotional feelings and similar to themselves that participants would perceive the robot as more similar in appearance and emotionally capable to themselves than a computer and so would observe more mistreatment with a robot the final results supported our hypotheses the participants observed greater mistreatment for the robot but not the computer also participants felt significantly more sympathetic towards the robot and believed that it was much more emotionally capable
Poetry writing and artistic ability in problem-based learning,2,"Chan, Z.C.Y.",International Journal on Disability and Human Development,2017,journalArticle,,21911231,10.1515/ijdhd-2016-0003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012279045&doi=10.1515%2fijdhd-2016-0003&partnerID=40&md5=405d95d0f3f15bf167d19c4dcd19c1cb,"Problem-based learning (PBL) is a teaching and learning approach that is widely used in healthcare education. It has similarly been suggested that poetry writing offers students a way to express their feelings and emotions related to clinical issues, medical education, and their relationship with patients. The rhythmic structure and temporal organisation of poetry allow students to remember poetry more easily than prose, suggesting that important and detailed information could be better memorised through poetic text. To report on how poetry writing and reciting was used in a PBL class in nursing to enhance the students' artistic ability, and on the students' perspectives on artistry in their learning. This paper presented a part of results of a main educational study where data were collected through lesson observations, reflective notes, and a follow-up interview. A total of 17 Hong Kong students were encouraged to collaborate in groups and write English poems based on a clinical case. A content analysis was conducted on their reflective notes and narratives were extracted from an interview. Although the students learned about cooperation, creativity, thinking, stress management, how to make lively presentations, deep learning, long-term memory, and professional knowledge, they expressed that the above were indirectly related to artistry. Scholars from the fields of both health related disciplines and literature should collaborate in researching and developing some learning and teaching activities which can further enhance the students' artistic ability so as to let them learn about empathy and understand patients' sufferings and illness experiences. © 2017 Walter de Gruyter GmbH, Berlin/Boston.",2017,2021-04-20T16:38:48Z,2021-04-20T16:38:48Z,,37-44,8,1,16,,,,,,,,,,English,,,,,,,Publisher: Walter de Gruyter GmbH,<p>cited By 2</p>,,,clinical article; content analysis; creativity; empathy; follow up; Hong Kong; human; interview; literature; long term memory; narrative; nursing; problem based learning; professional knowledge; stress management; teaching; writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poetrywritingandartisticabilityinproblembasedlearning,poetry writing and artistic ability in problembased learning problembased learning pbl is a teaching and learning approach that is widely used in healthcare education it has similarly been suggested that poetry writing offers students a way to express their feelings and emotions related to clinical issues medical education and their relationship with patients the rhythmic structure and temporal organisation of poetry allow students to remember poetry more easily than prose suggesting that important and detailed information could be better memorised through poetic text to report on how poetry writing and reciting was used in a pbl class in nursing to enhance the students artistic ability and on the students perspectives on artistry in their learning this paper presented a part of results of a main educational study where data were collected through lesson observations reflective notes and a followup interview a total of 17 hong kong students were encouraged to collaborate in groups and write english poems based on a clinical case a content analysis was conducted on their reflective notes and narratives were extracted from an interview although the students learned about cooperation creativity thinking stress management how to make lively presentations deep learning longterm memory and professional knowledge they expressed that the above were indirectly related to artistry scholars from the fields of both health related disciplines and literature should collaborate in researching and developing some learning and teaching activities which can further enhance the students artistic ability so as to let them learn about empathy and understand patients sufferings and illness experiences  2017 walter de gruyter gmbh berlinboston
EEG based functional connectivity analysis of human pain empathy towards humans and robots,0,"Chang, Wenwen; Wang, Hong; Yan, Guanghui; Lu, Zhiguo; Liu, Chong; Hua, Chengcheng",NEUROPSYCHOLOGIA,2021,journalArticle,,0028-3932,10.1016/j.neuropsychologia.2020.107695,,"Humans can show emotional reactions toward humanoid robots, such as empathy. Previous neuroimaging studies have indicated that neural responses of empathy for others' pain are modulated by an early automatic emotional sharing and a late controlled cognitive evaluation process. Recent studies about pain empathy for robots found humans present similar empathy process towards humanoid robots under painful stimuli as well as to humans. However, the whole-brain functional connectivity and the spatial dynamics of neural activities underlying empathic processes are still unknown. In the present study, the functional connectivity was investigated for ERPs recorded from 18 healthy adults who were presented with pictures of human hand and robot hand under painful and non-painful situations. Functional brain networks for both early and late empathy responses were constructed and a new parameter, empathy index (EI), was proposed to represent the empathy ability of humans quantitatively. We found that the mutual dependences between early ERP components was significantly decreased, but for the late components, there were no significant changes. The mutual dependences for human hand stimuli were larger than to robot hand stimuli for early components, but not for late components. The connectivity weights for early components were larger than late components. EI value shows significant difference between painful and non-painful stimuli, indicating it is a good indicator to represent the empathy of humans. This study enriches our understanding of the neurological mechanisms implicated in human empathy, and provides evidence of functional connectivity for both early and late responses of pain empathy towards humans and robots.",2021-01-22,2021-04-19T15:56:00Z,2021-04-19T15:56:00Z,,,,,151,,,,,,,,,,English,,,,,,,"Place: THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND Publisher: PERGAMON-ELSEVIER SCIENCE LTD Type: Article",,,,,EEG; Empathy; Empathy index; Functional connectivity; Human-robot interaction; Mutual information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eegbasedfunctionalconnectivityanalysisofhumanpainempathytowardshumansandrobots,eeg based functional connectivity analysis of human pain empathy towards humans and robots humans can show emotional reactions toward humanoid robots such as empathy previous neuroimaging studies have indicated that neural responses of empathy for others pain are modulated by an early automatic emotional sharing and a late controlled cognitive evaluation process recent studies about pain empathy for robots found humans present similar empathy process towards humanoid robots under painful stimuli as well as to humans however the wholebrain functional connectivity and the spatial dynamics of neural activities underlying empathic processes are still unknown in the present study the functional connectivity was investigated for erps recorded from 18 healthy adults who were presented with pictures of human hand and robot hand under painful and nonpainful situations functional brain networks for both early and late empathy responses were constructed and a new parameter empathy index ei was proposed to represent the empathy ability of humans quantitatively we found that the mutual dependences between early erp components was significantly decreased but for the late components there were no significant changes the mutual dependences for human hand stimuli were larger than to robot hand stimuli for early components but not for late components the connectivity weights for early components were larger than late components ei value shows significant difference between painful and nonpainful stimuli indicating it is a good indicator to represent the empathy of humans this study enriches our understanding of the neurological mechanisms implicated in human empathy and provides evidence of functional connectivity for both early and late responses of pain empathy towards humans and robots
Creation and Staging of Android Theatre “Sayonara” towards Developing Highly Human-Like Robots,8,"Chikaraishi, Takenobu; Yoshikawa, Yuichiro; Ogawa, Kohei; Hirata, Oriza; Ishiguro, Hiroshi",FUTURE INTERNET,2017,journalArticle,,1999-5903,10.3390/fi9040075,,"Even after long-term exposures, androids with a strikingly human-like appearance evoke unnatural feelings. The behavior that would induce human-like feelings after long exposures is difficult to determine, and it often depends on the cultural background of the observers. Therefore, in this study, we generate an acting performance system for the android, in which an android and a human interact in a stage play in the real world. We adopt the theatrical theory called Contemporary Colloquial Theatre Theory to give the android natural behaviors so that audiences can comfortably observe it even after long-minute exposure. A stage play is created and shown in various locations, and the audiences are requested to report their impressions of the stage and their cultural and psychological backgrounds in a self-evaluating questionnaire. Overall analysis indicates that the audience had positive feelings, in terms of attractiveness, towards the android on the stage even after 20 min of exposure. The singularly high acceptance of the android by Japanese audiences seems to be correlated with a high animism tendency, rather than to empathy. We also discuss how the stage play approach is limited and could be extended to contribute to realization of human-robot interaction in the real world.",2017-12,2021-04-19T15:56:58Z,2021-04-19T15:56:58Z,,,,4,9,,,,,,,,,,English,,,,,,,"Place: ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND Publisher: MDPI AG Type: Article",,,,,android theatre; contemporary colloquial theatre theory; robot theatre; social robots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creationandstagingofandroidtheatresayonaratowardsdevelopinghighlyhumanlikerobots,creation and staging of android theatre sayonara towards developing highly humanlike robots even after longterm exposures androids with a strikingly humanlike appearance evoke unnatural feelings the behavior that would induce humanlike feelings after long exposures is difficult to determine and it often depends on the cultural background of the observers therefore in this study we generate an acting performance system for the android in which an android and a human interact in a stage play in the real world we adopt the theatrical theory called contemporary colloquial theatre theory to give the android natural behaviors so that audiences can comfortably observe it even after longminute exposure a stage play is created and shown in various locations and the audiences are requested to report their impressions of the stage and their cultural and psychological backgrounds in a selfevaluating questionnaire overall analysis indicates that the audience had positive feelings in terms of attractiveness towards the android on the stage even after 20 min of exposure the singularly high acceptance of the android by japanese audiences seems to be correlated with a high animism tendency rather than to empathy we also discuss how the stage play approach is limited and could be extended to contribute to realization of humanrobot interaction in the real world
A study on the potential roles of a robot peer in socio-emotional development of children,1,"Cho, H.-K.; Oh, J.; Lee, K.",International Journal of Computational Vision and Robotics,2017,journalArticle,,17529131,10.1504/IJCVR.2017.083447,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018350294&doi=10.1504%2fIJCVR.2017.083447&partnerID=40&md5=df362ada74a3acadd2ea72f6d878505b,"This paper presents a robot mediated learning environment for children where various educational activities regarding emotional intelligence can be provided. The environment consists of a socially assistive robot, an auxiliary display, and a mobile device for teacher's intervention. The robot and the display are employed as mediators to give adequate affective feedbacks to children, which might not be possible among very young peers. The intervention device for teachers is employed to coach the robot on giving appropriate affective feedbacks according to the reaction of children. We intended to increase children's engagement on the activities and enhance their empathy while interacting with a friend-like robot than they do with an adult teacher. To verify the feasibility of the proposed design, we implemented an activity on emotional regulation strategies and performed a brief user study. The results clearly show that the participants prefer sociable mode of robot operation to still mode operation. Copyright © 2017 Inderscience Enterprises Ltd.",2017,2021-04-20T16:38:49Z,2021-04-20T16:38:49Z,,335-343,9,3,7,,,,,,,,,,English,,,,,,,Publisher: Inderscience Publishers,<p>cited By 1</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,astudyonthepotentialrolesofarobotpeerinsocioemotionaldevelopmentofchildren,a study on the potential roles of a robot peer in socioemotional development of children this paper presents a robot mediated learning environment for children where various educational activities regarding emotional intelligence can be provided the environment consists of a socially assistive robot an auxiliary display and a mobile device for teachers intervention the robot and the display are employed as mediators to give adequate affective feedbacks to children which might not be possible among very young peers the intervention device for teachers is employed to coach the robot on giving appropriate affective feedbacks according to the reaction of children we intended to increase childrens engagement on the activities and enhance their empathy while interacting with a friendlike robot than they do with an adult teacher to verify the feasibility of the proposed design we implemented an activity on emotional regulation strategies and performed a brief user study the results clearly show that the participants prefer sociable mode of robot operation to still mode operation copyright  2017 inderscience enterprises ltd
Consciousnes-based emotion and behavior of pet robot with brain-inspired method,0,"Chumkamon, S.; Hayashi, E.",Information (Japan),2017,journalArticle,,13434500,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033411589&partnerID=40&md5=153492716af71f45b6e7fbfbed28a1e1,"A personal robot becomes important to the future world where the robot facilitates our lives and be a friend. The understanding of emotional interaction is essential in the social behavior, including a natural behavior that is the needed functions for creature behavior-like robots. Our paper proposes the artificial topological consciousness based on a pet robot using a synthetic neurotransmitter and motivation including intelligent emotion. Since the significant factor of a companionable robot is the cross-communication system without conflict. This paper then focuses on three points: The first is the organization of the behavior and emotion model regarding the phylogenetic. The second, the method of the robot that can have empathy with user expression. The third, how the robot can perform the expression to the human with emotional intelligence us-ing a biologically inspired topological on-line method for encouragement or being delighted. We additionally demonstrate the performance of the artificial consciousness based on complexity level and the robot social expression to enhance the users affinity with the experiment. © 2017 International Information Institute.",2017,2021-04-20T16:38:49Z,2021-04-20T16:38:49Z,,615-629,15,1,20,,,,,,,,,,English,,,,,,,Publisher: International Information Institute Ltd.,<p>cited By 0</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consciousnesbasedemotionandbehaviorofpetrobotwithbraininspiredmethod,consciousnesbased emotion and behavior of pet robot with braininspired method a personal robot becomes important to the future world where the robot facilitates our lives and be a friend the understanding of emotional interaction is essential in the social behavior including a natural behavior that is the needed functions for creature behaviorlike robots our paper proposes the artificial topological consciousness based on a pet robot using a synthetic neurotransmitter and motivation including intelligent emotion since the significant factor of a companionable robot is the crosscommunication system without conflict this paper then focuses on three points the first is the organization of the behavior and emotion model regarding the phylogenetic the second the method of the robot that can have empathy with user expression the third how the robot can perform the expression to the human with emotional intelligence using a biologically inspired topological online method for encouragement or being delighted we additionally demonstrate the performance of the artificial consciousness based on complexity level and the robot social expression to enhance the users affinity with the experiment  2017 international information institute
Intelligent emotion and behavior based on topological consciousness and adaptive resonance theory in a companion robot,14,"Chumkamon, Sakmongkon; Hayashi, Eiji; Masato, Koike",BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES,2016,journalArticle,,2212-683X,10.1016/j.bica.2016.09.004,,"Companion or `pet' robots can be expected to be an important part of a future in which robots contribute to our lives in many ways. An understanding of emotional interactions would be essential to such robots' behavior. To improve the cognitive and behavior systems of such robots, we propose the use of an artificial topological consciousness that uses a synthetic neurotransmitter and motivation, including a biologically inspired emotion system. A fundamental aspect of a companion robot is a cross communication system that enables natural interactions between humans and the robot. This paper focuses on three points in the development of our proposed framework: (1) the organization of the behavior including inside-state emotion regarding the phylogenetic consciousness-based architecture; (2) a method whereby the robot can have empathy toward its human user's expressions of emotion; and (3) a method that enables the robot to select a facial expression in response to the human user, providing instant human-like `emotion' and based on emotional intelligence (El) that uses a biologically inspired topological online method to express, for example, encouragement or being delighted. We also demonstrate the performance of the artificial consciousness based on the complexity level and a robot's social expressions that are designed to enhance the users affinity with the robot. (C) 2016 Elsevier B.V. All rights reserved.",2016-10,2021-04-19T15:57:14Z,2021-04-19T15:57:14Z,,51-67,17,,18,,,,,,,,,,English,,,,,,,"Place: PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS Publisher: ELSEVIER SCIENCE BV Type: Article",,,,,Behavior; Companion robot; Consciousness based architecture; Emotional intelligence; Human-robot interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intelligentemotionandbehaviorbasedontopologicalconsciousnessandadaptiveresonancetheoryinacompanionrobot,intelligent emotion and behavior based on topological consciousness and adaptive resonance theory in a companion robot companion or pet robots can be expected to be an important part of a future in which robots contribute to our lives in many ways an understanding of emotional interactions would be essential to such robots behavior to improve the cognitive and behavior systems of such robots we propose the use of an artificial topological consciousness that uses a synthetic neurotransmitter and motivation including a biologically inspired emotion system a fundamental aspect of a companion robot is a cross communication system that enables natural interactions between humans and the robot this paper focuses on three points in the development of our proposed framework 1 the organization of the behavior including insidestate emotion regarding the phylogenetic consciousnessbased architecture 2 a method whereby the robot can have empathy toward its human users expressions of emotion and 3 a method that enables the robot to select a facial expression in response to the human user providing instant humanlike emotion and based on emotional intelligence el that uses a biologically inspired topological online method to express for example encouragement or being delighted we also demonstrate the performance of the artificial consciousness based on the complexity level and a robots social expressions that are designed to enhance the users affinity with the robot c 2016 elsevier bv all rights reserved
Gesture design attribute and level value of social robot: A user experience based study,,"Chung, S.-E.; Ryoo, H.-Y.",Journal of System and Management Sciences,2020,journalArticle,,18166075,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090517849&partnerID=40&md5=061cc8cf686359b56d6cd0e6709071a3,"This study was to verify the attributes of the social robot's gesture design factors that has a significant difference in the user experience and to establish the level values of the attributes. To do so, the attributes and the level value standards for the gesture interface's key design factors have been organized and a user experience survey was conducted through researches on the existing literature and case studies. For the emotional gesture attributes, the level values were categorized as 'pleasure at low arousal', 'pleasure at high arousal', 'displeasure at low arousal', and 'displeasure at high arousal'. Among the communicative expression gesture attributes, the level values were categorized as ‘idling, conversation induction and concentration, and empathy’. Lastly, the derived attributes and the level values for the ‘emotional gesture’ and ‘communicative gesture’ have been integrated with the ones for the ‘functional/semantic gesture' derived on the previous studies; they have been presented as the robot's gesture interface design factors available in the aspect of the user experience. © 2020, Success Culture Press. All rights reserved.",2020,2021-04-20T16:38:36Z,2021-04-20T16:38:36Z,,108-121,14,2,10,,,,,,,,,,English,,,,,,,Publisher: Success Culture Press,<p>cited By 0</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gesturedesignattributeandlevelvalueofsocialrobotauserexperiencebasedstudy,gesture design attribute and level value of social robot a user experience based study this study was to verify the attributes of the social robots gesture design factors that has a significant difference in the user experience and to establish the level values of the attributes to do so the attributes and the level value standards for the gesture interfaces key design factors have been organized and a user experience survey was conducted through researches on the existing literature and case studies for the emotional gesture attributes the level values were categorized as pleasure at low arousal pleasure at high arousal displeasure at low arousal and displeasure at high arousal among the communicative expression gesture attributes the level values were categorized as idling conversation induction and concentration and empathy lastly the derived attributes and the level values for the emotional gesture and communicative gesture have been integrated with the ones for the functionalsemantic gesture derived on the previous studies they have been presented as the robots gesture interface design factors available in the aspect of the user experience  2020 success culture press all rights reserved
A neurocognitive investigation of the impact of socializing with a robot on empathy for pain,20,"Cross, Emily S.; Riddoch, Katie A.; Pratts, Jaydan; Titone, Simon; Chaudhury, Bishakha; Hortensius, Ruud",PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2019,journalArticle,,0962-8436,10.1098/rstb.2018.0034,,"To what extent can humans form social relationships with robots? In the present study, we combined functional neuroimaging with a robot socializing intervention to probe the flexibility of empathy, a core component of social relationships, towards robots. Twenty-six individuals underwent identical fMRI sessions before and after being issued a social robot to take home and interact with over the course of a week. While undergoing fMRI, participants observed videos of a human actor or a robot experiencing pain or pleasure in response to electrical stimulation. Repetition suppression of activity in the pain network, a collection of brain regions associated with empathy and emotional responding, was measured to test whether socializing with a social robot leads to greater overlap in neural mechanisms when observing human and robotic agents experiencing pain or pleasure. In contrast to our hypothesis, functional region-of-interest analyses revealed no change in neural overlap for agents after the socializing intervention. Similarly, no increase in activation when observing a robot experiencing pain emerged post-socializing. Whole-brain analysis showed that, before the socializing intervention, superior parietal and early visual regions are sensitive to novel agents, while after socializing, medial temporal regions show agent sensitivity. A region of the inferior parietal lobule was sensitive to novel emotions, but only during the pre-socializing scan session. Together, these findings suggest that a short socialization intervention with a social robot does not lead to discernible differences in empathy towards the robot, as measured by behavioural or brain responses. We discuss the extent to which long-term socialization with robots might shape social cognitive processes and ultimately our relationships with these machines. This article is part of the theme issue `From social brains to social robots: applying neurocognitive insights to human-robot interaction'.",2019-04-29,2021-04-19T15:56:22Z,2021-04-19T15:56:22Z,,,,1771,374,,,,,,,,,,English,,,,,,,"Place: 6-9 CARLTON HOUSE TERRACE, LONDON SW1Y 5AG, ENGLAND Publisher: ROYAL SOC Type: Article",,,,,empathy; experience-dependent plasticity; fMRI; human-robot interaction; social cognition; social robotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aneurocognitiveinvestigationoftheimpactofsocializingwitharobotonempathyforpain,a neurocognitive investigation of the impact of socializing with a robot on empathy for pain to what extent can humans form social relationships with robots in the present study we combined functional neuroimaging with a robot socializing intervention to probe the flexibility of empathy a core component of social relationships towards robots twentysix individuals underwent identical fmri sessions before and after being issued a social robot to take home and interact with over the course of a week while undergoing fmri participants observed videos of a human actor or a robot experiencing pain or pleasure in response to electrical stimulation repetition suppression of activity in the pain network a collection of brain regions associated with empathy and emotional responding was measured to test whether socializing with a social robot leads to greater overlap in neural mechanisms when observing human and robotic agents experiencing pain or pleasure in contrast to our hypothesis functional regionofinterest analyses revealed no change in neural overlap for agents after the socializing intervention similarly no increase in activation when observing a robot experiencing pain emerged postsocializing wholebrain analysis showed that before the socializing intervention superior parietal and early visual regions are sensitive to novel agents while after socializing medial temporal regions show agent sensitivity a region of the inferior parietal lobule was sensitive to novel emotions but only during the presocializing scan session together these findings suggest that a short socialization intervention with a social robot does not lead to discernible differences in empathy towards the robot as measured by behavioural or brain responses we discuss the extent to which longterm socialization with robots might shape social cognitive processes and ultimately our relationships with these machines this article is part of the theme issue from social brains to social robots applying neurocognitive insights to humanrobot interaction
