Title,Citations,Type of publication,Journal/conference name,Year,Country (funding affiliation),Field(s),"Meets inclusion criteria (contains methods/study/model, is not a survey, implements empathetic AI)",Out-of-scope (0),NOTES,Domain,Category,Hypothesis,Context dependence,NOTES,Definition used (NOT systematic),Definition implemented,Domain of empathy,Study design,Measurement method,Studying human's  or robot's response?,NOTES,Modalities,Quantity of data,NOTES,Embodiment,Application space,Approach,Definition,Domain,NOTES,Methodology,Control group,Treatment group,Subject handling,NOTES,Type of baseline,Performance metric,Validation procedure,Statistical testing,Comparison of results,NOTES,Dataset,Code,NOTES
Study of Empathy on Robot Expression Based on Emotion Estimated from Facial Expression and Biological Signals,2,conferencePaper,2019 28TH IEEE INTERNATIONAL CONFERENCE ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION (RO-MAN),2019,JP,,1,,Country=authors,,,,,,none,emotional empathy,"facial expressions, biological signal","behavior modelling, facial recognition","heart rate, brain imaging, classification accuracy, timing measures",R,"Timing measures = duration, reaction time, etc",,,,SAM,HRI,FER: OMRON’s OKAO,,,"Estimating emotional state using EEG, heart rate and facial expressions to tailor the robot’s facial expressions",,,,,,,,,,,,0,0,
Emotional Bodily Expressions for Culturally Competent Robots through Long Term Human-Robot Interaction,11,conferencePaper,2018 IEEE/RSJ INTERNATIONAL CONFERENCE ON IN℡LIGENT ROBOTS AND SYSTEMS (IROS),2018,JP;EU,,1,, ,,,,,,none,"emotional empathy, cultural competence","facial expressions, body language, individual differences, human culture","behavior modelling, machine learning",machine learning,R,,,,,Pepper Robot,HRI,BER: SOM+,,,Customizes body expression overtime and capture personal and cultural differences in emotion expression,,,,,,,,,,,,0,0,
Incremental Learning of Human Emotional Behavior for Social Robot Emotional Body Expression,1,conferencePaper,2018 15TH INTERNATIONAL CONFERENCE ON UBIQUITOUS ROBOTS (UR),2018,JP;EU,,1,, ,,,,,,none,emotional empathy,body language,"behavior modelling, machine learning",machine learning,R,,,,,Pepper Robot,HRI,BER: SOM+,,,Customizes body expression overtime and capture personal and cultural differences in emotion expression,,,,,,,,,,,,0,0,
Building a Collaborative Relationship between Human and Robot through Verbal and Non-Verbal Interaction,0,conferencePaper,Companion of the 2021 ACM/IEEE International Conference on Human-Robot Interaction,2021,JP,,1,,Country=authors,,,,,,none,"emotional empathy, animism, personality","body language, verbal cues, vocal cues, eye contact",social interaction,"questionnaire, behavioral observation",h,,,,,Cozmo Robot,HRI,GOFAI,,,Studies non-verbal communication as a mechanism to improve interaction,,,,,,,,,,,,0,0,
Real-time convolutional neural networks for emotion and gender classification,161,conferencePaper,"ESANN 2019 - Proceedings, 27th European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",2019,DE,,1,,Country=authors,,,,,,none,emotional empathy,"facial expression, gender",machine learning,machine learning,R,,,,,Images,Computer Vision,FER: CNN,,,Gender and emotion recognition,,,,,,,,,,,,1,1,
Empathy and Instrumentalization: Late Ancient Cultural Critique and the Challenge of Apparently Personal Robots,0,conferencePaper,Frontiers in Artificial Intelligence and Applications,2020,US,,0,,Country=authors,,,,,,,,,,,,,,,,,Philosophy,,,,Definitions and descriptions,,,,,,,,,,,,0,0,
He who hesitates is lost (...in thoughts over a robot),10,conferencePaper,"PROCEEDINGS OF THE TECHNOLOGY, MIND, AND SOCIETY CONFERENCE (TECHMINDSOCIETY'18)",2018,US,Anthropomorphism; Empathy; Human Machine Team; Robotics; User Study,1,,"Country=authors; Looks very much like ""Band of Brothers and Bolts: Caring About Your Robot Teammate""",,,,,,none,"sustained empathy, pain",behavioral threshold,"personal narrative, game",behavioral threshold,h,,,,,Virtual Agent,HRI / Game,GOFAI,,,Studies the effect of back story narrative in the perception of the robot as social agent,,,,,,,,,,,,0,0,
Band of Brothers and Bolts: Caring About Your Robot Teammate,3,conferencePaper,2018 IEEE/RSJ INTERNATIONAL CONFERENCE ON IN℡LIGENT ROBOTS AND SYSTEMS (IROS),2018,US,,1,,"Country=authors; Looks very much like ""He who hesitates is lost (...in thoughts over a robot)""",,,,,,none,"pain, adaptability",behavioral threshold,"personal narrative, game",behavioral threshold,h,,,,,Virtual Agent,HRI / Game,GOFAI,,,Studies the effect of back story narrative in the perception of the robot as social agent,,,,,,,,,,,,0,0,
A New Chatbot for Customer Service on Social Media,299,conferencePaper,PROCEEDINGS OF THE 2017 ACM SIGCHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS (CHI'17),2017,US,Chatbot; customer service; deep learning; social media,1,,Country=authors,,,,,,none,"emotional empathy, informational empathy",verbal cues,customer service,deep learning,R,,,,,Virtual Agent,Customer Service,Text-based ER: Word2vec + LSTM,,,Adjust responses to tweets based on emotionally-laden words,,,,,,,,,,,,0,0,
Personality traits assessment using P.A.D. Emotional space in human-robot interaction,0,conferencePaper,"VISIGRAPP 2021 - Proceedings of the 16th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",2021,DE,,1,, ,,,,,,none,"adaptability, personality","verbal cues, context",role playing,machine learning,R,,,,,ROBIN robot,HRI / Psychology,GOFAI / FER Not specified,,,Personality Traits Assessment using a robot with different back stories,,,,,,,,,,,,0,0,
User Experience Study: The Service Expectation of Hotel Guests to the Utilization of AI-Based Service Robot in Full-Service Hotels,5,conferencePaper,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2019,CN,,1,,Country=authors,,,,,,none,emotional empathy,individual differences,customer service,questionnaire,h,,,,,Robotic Hotel / Smart Environment,Customer Service,Not Applicable,,,Studies how different demographics interact with smart devices in an hotel setting,,,,,,,,,,,,0,0,
Affective Embodied Agents and Their Effect on Decision Making,0,journalArticle,Proceedings,2019,MX,embodied agents; emotion recognition; game theory; avatars; social robots,1,, ,,,,,,none,"embodiment, emotional empathy","biological signal, decision",game,"galvanic skin response, heart rate, decision outcome",h,,,,,Eva Robot / Avatar,HRI,Google Speech and IBM Watson,,,"Studies the effect of embodiment on game dynamics, results are to some extend explain by empathy",,,,,,,,,,,,0,0,
"You Look Human, But Act Like a Machine: Agent Appearance and Behavior Modulate Different Aspects of Human-Robot Interaction",49,journalArticle,FRONTIERS IN PSYCHOLOGY,2017,US,human-robot interaction; intentionality; mind perception; social cognition; social robotics,1,, ,,,,,,none,"embodiment, emotional empathy, synchrony","superficial appearance, body language",social interaction,"gaze, timing measures",h,,,,,Images,HRI?,Not Applicable,,,Studies human versus robot cueing for gaze following,,,,,,,,,,,,0,0,
Empathic Robot for Group Learning: A Field Study,28,journalArticle,ACM TRANSACTIONS ON HUMAN-ROBOT INTERACTION,2019,PT;US;EU,collaborative learning; education; empathy; group learning; human-robot interaction; learning gains; Social robotics,1,, ,,,,,,"DEF: emotional empathy, informational empathy (See section 2.3)","emotional empathy, informational empathy",group behavior,"social interaction, pedagogical task, game","behavioral observation, learning outcomes",h,,,,,NAO Robot,HRI,Wizard of Oz + ML Behaviour Not specified,,,"Studies the effect of robot tutors, the robot detects the emotional climate and acts accordingly, the empathetic module seems to be described in another article",,,,,,,,,,,,0,0,
Is it the real deal? Perception of virtual characters versus humans: an affective cognitive neuroscience perspective,62,journalArticle,Frontiers in Psychology,2015,EU,,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Development and Testing of Psychological Conflict Resolution Strategies for Assertive Robots to Resolve Human-Robot Goal Conflict,0,journalArticle,FRONTIERS IN ROBOTICS AND AI,2021,DE,acceptance; HRI strategies; persuasive robots; robot assertiveness; trust; user compliance,1,, ,,,,,,none,"conflict resolution, emotional empathy, manners","verbal cues, body language, mood, superficial appearance",behavior modelling,questionnaire,h,questionnaire may include scalar ratings (eg within an experiment) or a form completed before/after the experiment,,,,Videos,HRI,Not Applicable,,,"Studies different conflict resolution (trajectory planning in shared spaces) strategies, tested with multiple embodiments but presented via videos.",,,,,,,,,,,,1,0,
An Autonomous Cognitive Empathy Model Responsive to Users' Facial Emotion Expressions,2,journalArticle,ACM TRANSACTIONS ON INTERACTIVE IN℡LIGENT SYSTEMS,2020,EU;BE,adaptive interaction; Empathy; facial emotion detection; human robot interaction; non-verbal behavior; social robots,1,, ,,,,,,DEF: affective (ie emotional) and cognitive empathy; section 1.1 is dedicated to defining empathy,"emotional empathy, perspective taking, emotional intelligence","facial expressions, verbal cues, body language",social interaction,questionnaire,h,,,,,Pepper Robot,HRI,GOFAI / FER: OpenFace + SAE + Wizard of Oz,,,Implements an architecture for facial emotion recognition and generation of mimicry and selection of pre-determined speech patterns,,,,,,,,,,,,0,0,
A Reinforcement Learning Based Cognitive Empathy Framework for Social Robots,0,journalArticle,INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS,2020,BE,Empathy; Human-robot interaction; Personality; Reinforcement learning; Social robot,1,, ,,,,,,none,cognitive empathy,"facial expressions, mimicry, verbal cues","machine learning, social interaction",questionnaire,h,,,,,Pepper Robot,HRI,FER: OpenFace + SAE; Behaviour: RL; Speech: Google Speech API,,,Implements a systems that reacts to facial emotion expressions and adapts its response behavior overtime,,,,,,,,,,,,0,0,
humanly space objects—perception and connection with the observer,11,journalArticle,Acta Astronautica,2015,UK,,0,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Socially grounded game strategy enhances bonding and perceived smartness of a humanoid robot,11,journalArticle,CONNECTION SCIENCE,2018,NL,combining social and game strategy; Economic game strategies for robots; engagement robot/computer; long-term relations with robots,1,, ,,,,,,none,"sustained empathy, intelligence, cognitive empathy",strategy behaviors,game,"gaze, observed behavior, questionnaire",h,,,,,NAO Robot,HRI,GOFAI,,,"Studies the effect of embodiment in board games, robot versus screen",,,,,,,,,,,,0,0,
"Exploring Teens as Robot Operators, Users and Witnesses in the Wild",2,journalArticle,FRONTIERS IN ROBOTICS AND AI,2020,US,adolescence; empathy; human-centered design; mental health; participatory; social robots; Wizard of Oz,1,, ,,,,,,none,"embodiment, emotional empathy","verbal cues, body language","naturalistic, social interaction",questionnaire,h,,,,,EMAR,HRI,Wizard of Oz,,,,,,,,,,,,,,,0,0,"GDPR reasons, ask for dataset"
Nudging for good: robots and the ethical appropriateness of nurturing empathy and charitable behavior,25,journalArticle,AI & SOCIETY,2017,US,Charity; Companion robots; Design ethics; Empathy; Nudges; Robot ethics,0,,Country=authors,,,,,,"DEF: affective empathy, which is what other papers call emotional empathy (see section 4)",emotional empathy,None,,,,"No experiment - this study examines whether/when it's ethical to use AI for ""nudging""",,,,,,,,,,,,,,,,,,,,,0,0,
Perceived Mistreatment and Emotional Capability Following Aggressive Treatment of Robots and Computers,5,journalArticle,INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS,2019,US,Human-robot cooperation; Human-robot interaction; Mistreatment; Perception,1,, ,,,,,,none,"pain, embodiment","group behavior, behavioral threshold, superficial appearance",social interaction,questionnaire,h,,,,,NAO / AVATAR,HRI,Wizard of Oz,,,,,,,,,,,,,,,0,0,
Poetry writing and artistic ability in problem-based learning,2,journalArticle,International Journal on Disability and Human Development,2017,HK,,0,, ,,,,,,none,"Recommend for exclusion - this isn't about empathetic AI, it's about humans writing poetry",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
EEG based functional connectivity analysis of human pain empathy towards humans and robots,0,journalArticle,NEUROPSYCHOLOGIA,2021,CN,EEG; Empathy; Empathy index; Functional connectivity; Human-robot interaction; Mutual information,1,, ,,,,,,none,"pain, embodiment",biological signal,pain study,brain imaging,h,,,,,Images,HRI?,EEG statistical analyses,,,,,,,,,,,,,,,0,0,
Creation and Staging of Android Theatre “Sayonara” towards Developing Highly Human-Like Robots,8,journalArticle,FUTURE INTERNET,2017,JP,android theatre; contemporary colloquial theatre theory; robot theatre; social robots,1,, ,,,,,,none,"embodiment, animism","superficial appearance, vocal cues, verbal cues, body language, facial expression, human culture",AI artistic performance,questionnaire,h,,,,,Geminoid,HRI / Entertainment Industry,Wizard of Oz,,,,,,,,,,,,,,,0,0,
A study on the potential roles of a robot peer in socio-emotional development of children,1,journalArticle,International Journal of Computational Vision and Robotics,2017,KR,emotional intelligence; r-learning; robot mediation; educational robot,1,,Country=authors,,,,,,none,"emotional intelligence, sociability","verbal cues, body language","pedagogical task, emotion regulation task",questionnaire,h,,,,,Custom,HRI / Therapy / Education,Wizard of Oz,,,,,,,,,,,,,,,0,0,
Consciousnes-based emotion and behavior of pet robot with brain-inspired method,0,journalArticle,Information (Japan),2017,JP,Human-robot interaction;Emotional intelligence;CBA,1,,Country=authors,,,,,,none,"emotional intelligence, sociability, manners","superficial appearance, facial expression, body language","machine learning, behavior modelling","machine learning, gaze",R,,,,,Conbe Robot,HRI,Cognitive Architecture / GOFAI / TopoART + FER: Constrained Local Model (CLM) + HMM,,,,,,,,,,,,,,,0,0,
Intelligent emotion and behavior based on topological consciousness and adaptive resonance theory in a companion robot,14,journalArticle,BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES,2016,JP,Behavior; Companion robot; Consciousness based architecture; Emotional intelligence; Human-robot interaction,1,, ,,,,,,none,emotional intelligence,facial expression,"machine learning, behavior modelling, social interaction",machine learning,R,,,,,Conbe Robot,HRI,Cognitive Architecture / GOFAI / TopoART + FER: Constrained Local Model (CLM) + HMM,,,,,,,,,,,,,,,0,0,
Gesture design attribute and level value of social robot: A user experience based study,,journalArticle,Journal of System and Management Sciences,2020,KR,Social Robot; gesture Interface; design attribute and level value;user experience,1,, ,,,,,,none,"sociability, emotional empathy, informational empathy","body language, mood",social interaction,questionnaire,h,,,,,Images,HRI,Not Applicable,,,,,,,,,,,,,,,0,0,
A neurocognitive investigation of the impact of socializing with a robot on empathy for pain,20,journalArticle,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2019,EU,empathy; experience-dependent plasticity; fMRI; human-robot interaction; social cognition; social robotics,1,, ,,,,,,none,"adaptability, sociability, emotional empathy, pain",biological signal,"social interaction, pain study",brain imaging,h,,,,,Images / Images Cozmo Robot,HRI,Not Applicable,,,,,,,,,,,,,,,1,0,
Simulating empathic behavior in a social assistive robot,18,journalArticle,MULTIMEDIA TOOLS AND APPLICATIONS,2017,IT,Affective computing; Empathy; Social assistive robots,1,, ,,,,,,none,emotional empathy,"verbal cues, facial expressions","behavior modelling, machine learning, social interaction",questionnaire,"h, R",,,,,NAO Robot,HRI,"FER: Viola Jones+SIFT+Random Forest, Speech: VOCE, Reasoning: Dynamic Belief Networks (DBNs)",,,,,,,,,,,,,,,0,0,Ask for dataset
"Leveraging human-robot interaction in hospitality services: Incorporating the role of perceived value, empathy, and information sharing into visitors' intentions to use social robots",29,journalArticle,TOURISM MANAGEMENT,2020,FR;UK;SG,Artificial intelligence; Hospitality services; Human-robot interaction; Intention to use robots; Social robots,1,,Country=authors,,,,,,none,"emotional empathy, informational empathy","information sharing, verbal cues",social interaction,"interviews, questionnaire",h,,,,,Images,HRI / Customer Service,Not Applicable,,,,,,,,,,,,,,,0,0,
Robots As Intentional Agents: Using Neuroscientific Methods to Make Robots Appear More Social,119,journalArticle,Frontiers in Psychology,2017,EU,"attribution of intentionality; mind perception; social robotics, human–robot interaction; social neuroscience",0,, ,,,,,,none,"adaptability, emotional intelligence, emotional empathy, intentionality",None,,,,No experiment - this study examines conceptualizations of intentionality,,,,,,,,,,,,,,,,,,,,,0,0,
Ordered interpersonal synchronisation in ASD children via robots,0,journalArticle,SCIENTIFIC REPORTS,2020,AU;JP,NA,1,,Country=authors,,,,,,,,,,,,,,,,Pekoppa Robot,HRI / ASD,GOFAI / Not specified,,,,,,,,,,,,,,,0,0,
Emotional Empathy as a Mechanism of Synchronisation in Child-Robot Interaction,8,journalArticle,FRONTIERS IN PSYCHOLOGY,2018,FR;JP,child; emotional empathy; heart rate; interactor robot; synchronisation,1,, ,,,,,,,,,,,,,,,,Pekoppa Robot,HRI,GOFAI / Not specified,,,,,,,,,,,,,,,0,0,
Amygdala-Inspired Affective Computing: to Realize Personalized Intracranial Emotions with Accurately Observed External Emotions,6,journalArticle,CHINA COMMUNICATIONS,2019,CN,affective computing; emotion recognition; external emotions; intracranial emotions; personalized machines,1,, ,,,,,,,,,,,,,,,,Images,Computer Vision / Computation Model,FER: Perception: Compressed CNN + Action: MLP,,,,,,,,,,,,,,,0,0,
Examining young children's perception toward augmented reality-infused dramatic play,120,journalArticle,ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT,2015,KR,Augmented reality; Dramatic play; Educational robot,1,, ,,,,,,,,,,,,,,,,iROBIQ Robot,HRI / Education,GOFAI / Preprogrammed,,,Robot-mediated Augmented reality (AR),,,,,,,,,,,,0,0,
"Perspective-Taking of Non-Player Characters in Prosocial Virtual Reality Games: Effects on Closeness, Empathy, and Game Immersion",0,journalArticle,BEHAVIOUR & INFORMATION TECHNOLOGY,2020,HK,digital games; empathy; Perspective taking; prosocial games; virtual reality,1,,Country=authors,,,,,,,,,,,,,,,,VR / Avatar,HRI / Gaming,Not Applicable,,,,,,,,,,,,,,,0,0,
Empathetic Speech Synthesis and Testing for Healthcare Robots,0,journalArticle,INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS,2020,NZ,Artificial empathy; Emotional speech synthesis; Healthcare; Prosody modelling; Social robots,1,, ,,,,,,,,,,,,,,,,iROBIQ Robot,HRI / Healthcare,Wizard of Oz / Emotion-laden Speech synthesis via GOFAI,,,,,,,,,,,,,,,0,0,
The Effect of Robot Attentional Behaviors on User Perceptions and Behaviors in a Simulated Health Care Interaction: Randomized Controlled Trial,8,journalArticle,JOURNAL OF MEDICAL INTERNET RESEARCH,2019,KR,engagement; health care robotics; robotics; social intelligence; social interaction,1,, ,,,,,,,,,,,,,,,,NAO Robot,HRI / Healthcare,GOFAI / Preprogrammed,,,,,,,,,,,,,,,0,0,
"Differential Facial Articulacy in Robots and Humans Elicit Different Levels of Responsiveness, Empathy, and Projected Feelings",0,journalArticle,ROBOTICS,2020,NL,empathy; experiment; facial expression; human-robot communication; social robots; user response,1,, ,,,,,,,,,,,,,,,,Videos NAO & Alice,HRI,GOFAI / Preprogrammed,,,,,,,,,,,,,,,0,0,
Seeing the mind of robots: Harm augments mind perception but benevolent intentions reduce dehumanisation of artificial entities in visual vignettes,1,journalArticle,INTERNATIONAL JOURNAL OF PSYCHOLOGY,2020,PL;DE,Benevolent intentions; Dehumanisation; Mind perception; Moral typecasting theory; Robots,1,, ,,,,,,,,,,,,,,,,Avatars,HRI,Not Applicable,,,,,,,,,,,,,,,0,0,
Impact of human-robot interaction on user satisfaction with humanoid-based healthcare,0,journalArticle,International Journal of Engineering and Technology(UAE),2018,KR,Humanoid; Human-Robot Interaction; Health-Care Robot; User Satisfaction; Heterogeneity,1,,Country=authors,,,,,,,,,,,,,,,,NAO Robot,HRI / Healthcare,GOFAI / Preprogrammed,,,,,,,,,,,,,,,0,0,
"A Recipe for Empathy Integrating the Mirror System, Insula, Somatosensory Cortex and Motherese",27,journalArticle,INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS,2015,JP,Developmental robotics; Emotional contagion based on SIRE model; MEI robot; Robot empathy,1,,Country=authors,,,,,,,,,,,,,,,,NAO Robot,Modeling,Emotional long-term memory: GMM + GOFAI,,,homeostasis- and interaction-based empathy,,,,,,,,,,,,0,0,
Robot Enhanced Therapy for Autistic Children: An Ethical Analysis,2,journalArticle,IEEE TECHNOLOGY AND SOCIETY MAGAZINE,2020,UK,Autism; Ethics; Medical treatment; Pediatrics; Robot sensing systems; Social implications of technology,0,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Intersectional AI: A Study of How Information Science Students Think about Ethics and Their Impact,1,journalArticle,Proc. ACM Hum.-Comput. Interact.,2020,US,,1,1,Country=authors,,,,,,,,,,,,,,,,,Ethics,,,,,,,,,,,,,,,,0,0,
Can You Read My Face? A Methodological Variation for Assessing Facial Expressions of Robotic Heads,13,journalArticle,INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS,2015,EU,Facial expressions; Human-robot interaction; Robot emotions; Social robots,1,, ,,,,,,,,,,,,,,,,Videos EDDIE & IURO,HRI,GOFAI / Preprogrammed,,,,,,,,,,,,,,,0,0,
Intelligent humanoid robots expressing artificial humanlike empathy in nursing situations,4,journalArticle,NURSING PHILOSOPHY,2020,JP;US,affective developmental robotics; artificial empathy; artificial intelligence; humanoid nurse robots; intelligent humanoid robots; nursing,0,,Country=authors,,,,,,,,,,,,,,,,,Review / Position Paper,,,,,,,,,,,,,,,,0,0,
"Attachment styles moderate customer responses to frontline service robots: Evidence from affective, attitudinal, and behavioral measures",0,journalArticle,PSYCHOLOGY & MARKETING,2021,IT;NL,anthropomorphism; attachment styles; empathy; service robots; social response,1,,Country=authors,,,,,,,,,,,,,,,,Videos,HRI,Not Applicable,,,,,,,,,,,,,,,0,0,Ask for dataset
A Computation Model for Learning Programming and Emotional Intelligence,0,journalArticle,IEEE ACCESS,2020,PK,basic programming; Computational modeling; Education; Emotional intelligence; Programming profession; Robots; robots based learning; screen-free interface; Sequential analysis; Tools,1,,Country=authors,,,,,,,,,,,,,,,,Cozmo Robot,HRI / Education,Not Applicable,,,,,,,,,,,,,,,0,0,
“Hit the Robot on the Head With This Mallet” - Making a Case for Including More Open Questions in HRI Research,0,journalArticle,FRONTIERS IN ROBOTICS AND AI,2021,EU;UK,empathy; human- robot interaction; prosocial behaviour; qualitative research; social perception; social robotics,1,, ,,,,,,,,,,,,,,,,Pepper Robot,HRI,GOFAI / Preprogrammed / Wizard of Oz,,,,,,,,,,,,,,,1,1,
The Role of Personality Factors and Empathy in the Acceptance and Performance of a Social Robot for Psychometric Evaluations,2,journalArticle,ROBOTICS,2020,EU;IT,empathy; human friendly cognitive robotics; personality factors; psychometric evaluation; social assistive robots; technology acceptance,1,, ,,,,,,,,,,,,,,,,Pepper Robot,HRI / Therapy,GOFAI / Not specified,,,,,,,,,,,,,,,0,0,
Affective and Engagement Issues in the Conception and Assessment of a Robot-Assisted Psychomotor Therapy for Persons with Dementia,17,journalArticle,FRONTIERS IN PSYCHOLOGY,2017,FR,control software; dementia; engagement; geriatrics; psychomotor therapy; social robots,1,, ,,,,,,,,,,,,,,,,NAO Robot,HRI / Therapy,Wizard of Oz,,,,,,,,,,,,,,,0,0,
Probabilistic Social Behavior Analysis by Exploring Body Motion-Based Patterns,17,journalArticle,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE IN℡LIGENCE,2016,PT;SA,Bayesian approach; frequency domain; human movement analysis; social role; Social signal processing,1,, ,,,,,,,,,,,,,,,,Videos,Computer Vision,Bayesian Programming,,,,,,,,,,,,,,,0,0,
Vocal Synchrony of Robots Boosts Positive Affective Empathy,0,journalArticle,Applied Sciences,2021,JP,human–robot interaction; affective empathy; nonverbal synchrony; prosodic features,1,, ,,,,,,,,,,,,,,,,NAO Robot,HRI,GOFAI / Speech recognition: Julius + SPTK; sppech synthesis: VoiceText,,,,,,,,,,,,,,,0,0,
Embodiment matters: toward culture-specific robotized counselling,0,journalArticle,Journal of Reliable Intelligent Environments,2020,JP,Counselling robot; Social movements; Nodding (Unazuki); Dialog promotion; Implementation;Evaluation,1,, ,,,,,,,,,,,,,,,,Custom Robot,HRI / Counseling,Chatbot: GOFAI / Fuzzy Logic / google Speech API / NGINX,,,,,,,,,,,,,,,0,0,
A pupil response system using hemispherical displays for enhancing affective conveyance,2,journalArticle,JOURNAL OF ADVANCED MECHANICAL DESIGN SYSTEMS AND MANUFACTURING,2019,JP,Empathy; Human interface; Human-robot interaction design; Kansei and affective engineering; Media representation; Pupil response,1,,"Same system used in ""A Laughing-driven Pupil Response System for Inducing Empathy"", ""Development of a Pupil Response System with Empathy Expression in Face-to-Face Body Contact"" and ""A pupil response system using hemispherical displays for enhancing affective conveyance""",, ,,,,,,,,,,,,,,Robotic Eye,HRI,GOFAI / Not specified,,,,,,,,,,,,,,,0,0,
Deep learning-based facial expression recognition and analysis for filipino gamers,0,journalArticle,International Journal of Recent Technology and Engineering,2019,PH,deep learning; gamer facial expression; emotion recognition; Inception network; LSTM,1,,Country=authors,,,,,,,,,,,,,,,,Videos,Computer Vision,FER: CNN + LSTM,,,,,,,,,,,,,,,0,0,
Meeting the Needs of Mothers During the Postpartum Period: Using Co-Creation Workshops to Find Technological Solutions,18,journalArticle,JMIR RESEARCH PROTOCOLS,2017,BE,co-creating workshop; co-creation; mothers' needs; postpartum needs; technological solutions,0,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Measuring empathy for human and robot hand pain using electroencephalography,98,journalArticle,SCIENTIFIC REPORTS,2015,JP,,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Avatars in Pain: Visible Harm Enhances Mind Perception in Humans and Robots,8,journalArticle,PERCEPTION,2018,PL,anthropomorphism; empathy; harm; mind perception; pain; robots,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Testing Empathy with Robots: A Model in Four Dimensions and Sixteen Items,12,journalArticle,INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS,2015,FR,Auto-empathy; Direct empathy; Empathy with robots; Human-robot interaction; Intersubjective empathy; Psychology; Reciprocal empathy,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Fake Empathy and Human-Robot Interaction (HRI): A Preliminary Study,6,journalArticle,INTERNATIONAL JOURNAL OF TECHNOLOGY AND HUMAN INTERACTION,2018,ES;JP;UK,Emotions; Empathy; Fake; HRI; Human-Robot Interaction; Robots; WOZ,1,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Embodiment into a robot increases its acceptability,9,journalArticle,SCIENTIFIC REPORTS,2019,FR,,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Emotional Empathy Model for Robot Partners Using Recurrent Spiking Neural Network Model with Hebbian-LMS Learning,12,journalArticle,MALAYSIAN JOURNAL OF COMPUTER SCIENCE,2017,JP,Conversation System; Emotional Empathy Model; Hebbian-LMS Learning; Recurrent Spiking Neural Network; Robot Partner,1,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
A computational model of empathy for interactive agents,18,journalArticle,BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES,2018,CA,Affective computing; Conversational agents; Empathy,1,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Teach your robot how you want it to express emotions: On the personalized affective human-humanoid interaction,0,bookChapter,Advances in Intelligent Systems and Computing,2015,SK,,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Increasing Engagement with Chameleon Robots in Bartending Services,0,conferencePaper,2020 29TH IEEE INTERNATIONAL CONFERENCE ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION (RO-MAN),2020,IT,,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
New Trend on ASD: Can Social Robot Be a Useful Tool in Joint Attention for ASD?,0,conferencePaper,"14TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE (INTED2020)",2020,TR,Autism spectrum disorder; joint attention; robots; social robot,0,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Towards Metrics of Evaluation of Pepper Robot as a Social Companion for the Elderly,15,conferencePaper,ADVANCED SOCIAL INTERACTION WITH AGENTS,2019,FR;TR;BE,Data collection; Elderly end-users; Evaluation; Human-Robot Interaction; Metrics,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
